Timestamp_s,Flow_Rate_L_s,Pressure_kPa,Fuel_Quantity_L,Probe_Status
0,0.503005774,289.1225256,799.9496994,normal
0.1,0.644505201,295.781496,799.8852489,normal
0.2,0.466928275,261.5422495,799.8385561,normal
0.3,0.556508215,199.092899,799.7829053,normal
0.4,0.352611422,351.1418971,,faulty
0.5,0.605936914,301.7332379,799.6870504,normal
0.6,0.597513661,365.8524464,799.6272991,normal
0.7,0.585183815,287.6176889,799.5687807,normal
0.8,0.392422378,253.5965311,799.5295384,normal
0.9,0.359931497,255.8174782,799.4935453,normal
1,0.382281903,257.593339,799.4553171,normal
1.1,0.389617768,352.7553238,,faulty
1.2,0.453242493,353.5215143,,faulty
1.3,0.446420097,330.2264431,,faulty
1.4,0.326550192,266.8639949,799.293734,normal
1.5,0.41182453,351.4318853,799.2525516,normal
1.6,0.522976665,206.6328349,799.2002539,normal
1.7,0.608066109,274.8550928,,faulty
1.8,0.497845206,279.2974122,799.0896628,normal
1.9,0.587780728,325.6154225,799.0308847,normal
2,0.575751721,275.9725792,798.9733095,normal
2.1,0.556270659,230.9149972,798.9176825,normal
2.2,0.404266238,257.7627079,798.8772559,normal
2.3,0.646709503,214.7900506,798.8125849,normal
2.4,0.412366658,317.9721389,798.7713482,normal
2.5,0.376617513,364.4072587,798.7336865,normal
2.6,0.49715345,258.055864,798.6839711,normal
2.7,0.544543756,279.9483904,798.6295168,normal
2.8,0.605435155,299.2245824,798.5689733,normal
2.9,0.572756354,287.6062715,798.5116976,normal
3,0.64516016,,,faulty
3.1,0.587544698,305.6544047,798.3884271,normal
3.2,0.511885986,331.2795178,798.3372385,normal
3.3,0.428840077,272.9073539,798.2943545,normal
3.4,0.571014147,257.2313352,798.2372531,normal
3.5,0.509324491,300.7024988,,faulty
3.6,0.414346903,345.7850236,798.144886,normal
3.7,0.460257456,290.5176338,798.0988602,normal
3.8,0.35253897,315.0760887,798.0636063,normal
3.9,0.705352429,260.1733673,797.9930711,normal
4,0.495149555,349.5783698,797.9435561,normal
4.1,0.627517104,342.6619274,797.8808044,normal
4.2,0.492284429,197.8652622,797.831576,normal
4.3,0.483743718,308.0830901,,faulty
4.4,0.294329729,262.5301482,797.7537686,normal
4.5,0.637267382,268.7681771,797.6900419,normal
4.6,0.458136217,349.815569,797.6442283,normal
4.7,0.372849959,315.2268584,797.6069433,normal
4.8,0.301641934,336.0016273,797.5767791,normal
4.9,0.543212121,209.1659514,797.5224579,normal
